datetime,machineID,Type,Air_temperature,Process_temperature,Rotational_speed,Torque,Tool_wear,Target,RUL_hours,Failure_Type,month,hour,dayofweek
2015-10-05 12:44:00,100,M,302.6,314.2,1460,46.3,300,0,3608,No Failure,10,12,0
2017-01-07 19:40:52,127,M,307.4,320.0,1434,50.7,300,0,1496,No Failure,1,19,5
2016-04-16 01:11:19,161,H,295.0,305.0,1453,47.2,300,0,4408,No Failure,4,1,5
2018-01-02 17:31:56,334,M,302.7,314.3,1459,46.4,300,0,13576,No Failure,1,17,1
2018-07-24 18:09:04,321,M,303.5,315.6,1449,48.4,300,0,8744,No Failure,7,18,1
2015-11-28 08:16:23,48,H,295.0,305.0,1440,49.8,300,0,1200,No Failure,11,8,5
2016-02-12 19:11:08,34,L,310.0,320.0,1478,43.5,300,0,12304,No Failure,2,19,4
2015-06-23 03:33:12,94,L,310.0,320.0,1490,41.3,261,0,13168,No Failure,6,3,1
2017-08-04 22:53:55,8,L,310.0,320.0,1426,52.0,300,0,136,No Failure,8,22,4
2016-11-28 13:08:04,192,M,307.6,320.0,1431,50.8,300,0,1176,No Failure,11,13,0
2016-05-05 17:20:18,200,M,304.8,317.7,1428,65.2,300,0,328,No Failure,5,17,3
2017-01-14 22:52:43,163,M,304.6,317.3,1432,50.9,300,0,1240,No Failure,1,22,5
2017-02-14 23:44:50,202,M,304.1,316.6,1436,59.0,300,0,2480,No Failure,2,23,1
2015-10-10 19:49:56,230,H,295.0,305.0,1442,49.3,300,0,1288,No Failure,10,19,5
2016-01-08 09:24:24,147,L,310.0,320.0,1480,43.4,300,0,12160,No Failure,1,9,4
2016-04-06 01:58:07,69,M,307.2,320.0,1435,50.5,300,0,1048,No Failure,4,1,2
2017-02-20 21:27:46,55,H,295.0,305.0,1425,52.0,300,0,16,No Failure,2,21,0
2017-01-28 10:55:50,382,L,310.0,320.0,1477,43.8,300,0,21776,No Failure,1,10,5
2017-02-02 13:51:43,74,L,310.0,320.0,1338,43.6,300,0,2080,No Failure,2,13,3
2016-04-17 20:32:07,69,M,307.6,320.0,1431,50.8,300,0,768,No Failure,4,20,6
2016-04-05 21:48:38,169,H,295.0,305.0,1425,71.4,300,0,72,No Failure,4,21,1
2015-08-14 22:49:41,128,L,310.0,320.0,1482,43.1,300,0,8152,No Failure,8,22,4
2017-01-07 04:37:09,175,L,310.0,320.0,1438,63.2,300,0,2112,No Failure,1,4,5
2016-01-17 01:07:37,304,L,310.0,320.0,1492,41.3,300,0,30856,No Failure,1,1,6
2017-04-29 20:04:35,212,M,304.7,317.6,1303,42.9,300,0,936,No Failure,4,20,5
2018-08-18 23:25:34,375,M,303.5,315.6,1445,48.5,300,0,8120,No Failure,8,23,5
2016-11-30 13:55:18,21,M,304.8,317.7,1426,65.5,300,0,376,No Failure,11,13,2
2016-02-16 23:55:19,169,H,295.0,305.0,1436,62.5,300,0,1256,No Failure,2,23,1
2016-11-11 08:48:32,157,M,307.9,320.0,1429,51.0,300,0,832,No Failure,11,8,4
2015-10-18 19:33:11,372,H,295.0,305.0,1494,40.9,300,0,33048,No Failure,10,19,6
2016-11-29 20:03:27,40,L,310.0,320.0,1438,50.0,300,0,2296,No Failure,11,20,1
2016-06-15 01:48:03,216,L,310.0,320.0,1428,51.5,300,0,424,No Failure,6,1,2
2017-07-09 13:20:04,299,L,310.0,320.0,1470,45.1,300,0,17936,No Failure,7,13,6
2015-12-28 10:30:09,345,M,300.5,310.8,1491,41.2,300,0,31328,No Failure,12,10,0
2015-07-05 09:37:46,255,H,295.0,305.0,1496,40.4,280,0,35520,No Failure,7,9,6
2017-09-18 10:33:00,197,M,305.0,318.0,1426,52.0,300,0,104,No Failure,9,10,0
2015-04-29 10:53:16,309,M,300.1,310.2,1499,40.3,178,0,37152,No Failure,4,10,2
2015-12-23 23:51:20,95,L,310.0,320.0,1435,46.2,300,0,3120,No Failure,12,23,2
2016-12-25 20:24:34,54,M,304.8,317.7,1427,51.6,300,0,440,No Failure,12,20,6
2015-05-16 04:39:14,12,M,300.4,310.7,1493,41.1,204,0,13520,No Failure,5,4,5
2017-03-23 11:56:15,183,M,308.5,320.0,1428,51.6,300,0,504,No Failure,3,11,3
2016-01-17 04:09:04,237,M,302.6,314.2,1461,46.3,300,0,4968,No Failure,1,4,6
2016-07-13 17:20:50,49,M,304.1,316.6,1353,44.1,300,0,1952,No Failure,7,17,2
2016-01-12 09:31:22,52,M,303.0,314.8,1454,47.0,300,0,3792,No Failure,1,9,1
2016-02-18 19:02:04,98,M,304.9,317.9,1278,42.0,300,0,64,No Failure,2,19,3
2015-03-16 02:24:01,232,L,310.0,320.0,1497,40.8,113,0,10448,No Failure,3,2,0
2016-06-15 19:43:35,112,L,310.0,320.0,1431,66.4,300,0,904,No Failure,6,19,2
2016-08-08 12:38:27,247,M,304.7,320.0,1427,69.0,300,0,480,No Failure,8,12,0
2016-12-11 07:11:49,91,M,304.0,318.9,1441,59.8,300,0,2896,No Failure,12,7,6
2015-12-21 04:30:11,98,M,304.0,316.3,1368,44.5,300,0,1520,No Failure,12,4,0
2016-05-31 00:39:01,31,H,295.0,305.0,1427,51.8,300,0,168,No Failure,5,0,1
2016-03-19 17:06:48,222,M,304.1,316.6,1438,49.9,300,0,1496,No Failure,3,17,5
2016-05-03 01:05:21,49,M,303.3,315.3,1420,45.9,300,0,3664,No Failure,5,1,1
2017-03-02 06:43:11,241,L,310.0,320.0,1345,43.8,300,0,2456,No Failure,3,6,3
2016-10-11 22:04:10,198,H,295.0,305.0,1459,46.9,300,0,7344,No Failure,10,22,1
2016-06-19 14:26:00,195,L,310.0,320.0,1431,66.4,300,0,904,No Failure,6,14,6
2015-11-18 23:08:00,16,M,304.7,320.0,1430,68.7,300,0,328,No Failure,11,23,2
2016-12-06 19:55:44,40,L,310.0,320.0,1437,50.0,300,0,2128,No Failure,12,19,1
2016-05-20 05:14:54,233,M,304.3,320.0,1435,63.7,300,0,1320,No Failure,5,5,4
2017-02-28 02:03:25,201,H,295.0,305.0,1439,49.7,300,0,2944,No Failure,2,2,1
2016-03-18 04:59:29,390,M,300.6,311.0,1488,41.5,300,0,29408,No Failure,3,4,4
2015-09-28 04:21:08,99,M,301.1,311.8,1480,42.8,300,0,10384,No Failure,9,4,0
2016-07-05 13:48:35,81,M,304.1,319.4,1440,61.1,300,0,2000,No Failure,7,13,1
2016-06-18 16:22:07,385,H,295.0,305.0,1485,42.1,300,0,27136,No Failure,6,16,5
2016-07-21 01:38:00,21,M,303.5,315.7,1447,53.2,300,0,3576,No Failure,7,1,3
2016-12-11 13:26:31,93,M,308.1,320.0,1429,51.2,300,0,720,No Failure,12,13,6
2016-09-30 16:34:49,178,H,295.0,305.0,1441,49.4,300,0,2680,No Failure,9,16,4
2016-01-17 23:24:51,231,H,295.0,305.0,1454,49.3,300,0,3456,No Failure,1,23,6
2016-02-04 00:24:13,17,L,310.0,320.0,1436,62.2,300,0,1256,No Failure,2,0,3
2017-06-10 00:53:19,167,L,310.0,320.0,1295,42.7,300,0,648,No Failure,6,0,5
2017-04-08 04:23:22,261,H,295.0,305.0,1474,44.3,300,0,20144,No Failure,4,4,5
2015-05-24 07:41:18,3,L,310.0,320.0,1483,42.7,214,0,5792,No Failure,5,7,6
2016-12-08 23:16:22,399,H,295.0,305.0,1480,43.4,300,0,22952,No Failure,12,23,3
2016-02-26 17:33:56,218,M,303.4,315.4,1449,51.6,300,0,3048,No Failure,2,17,4
2017-09-07 23:56:17,197,M,304.9,317.9,1427,51.9,300,0,344,No Failure,9,23,3
2015-02-09 10:38:08,50,L,310.0,320.0,1497,40.4,58,0,7728,No Failure,2,10,0
2017-06-29 17:39:30,203,L,310.0,320.0,1432,50.8,300,0,1648,No Failure,6,17,3
2015-06-04 13:13:28,365,M,300.1,310.2,1497,40.3,234,0,36248,No Failure,6,13,3
2017-06-22 01:37:46,351,M,302.0,313.1,1469,44.7,300,0,18344,No Failure,6,1,3
2015-08-20 22:40:03,117,M,302.3,313.6,1465,45.4,300,0,3856,No Failure,8,22,3
2016-07-14 12:07:53,81,M,304.2,319.7,1438,62.2,300,0,1776,No Failure,7,12,3
2017-01-19 06:30:20,241,L,310.0,320.0,1373,44.6,300,0,3480,No Failure,1,6,3
2016-12-14 03:08:50,188,L,310.0,320.0,1429,64.8,300,0,592,No Failure,12,3,2
2017-07-14 10:51:40,11,H,295.0,305.0,1426,51.7,300,0,376,No Failure,7,10,4
2015-08-18 01:34:19,113,L,310.0,320.0,1489,41.8,300,0,14184,No Failure,8,1,1
2016-07-23 00:39:21,389,M,301.1,311.7,1486,42.5,300,0,26312,No Failure,7,0,5
2015-12-08 13:36:46,111,L,310.0,320.0,1483,42.4,300,0,15160,No Failure,12,13,1
2016-03-29 09:09:15,236,M,301.5,312.4,1476,43.6,300,0,12952,No Failure,3,9,1
2018-06-21 08:04:03,374,H,295.0,305.0,1450,47.9,300,0,9640,No Failure,6,8,3
2016-08-05 16:06:08,61,M,305.7,320.0,1440,49.2,300,0,2584,No Failure,8,16,4
2016-08-27 06:06:11,373,H,295.0,305.0,1483,42.7,300,0,25368,No Failure,8,6,5
2015-09-07 00:36:04,84,L,310.0,320.0,1460,46.0,300,0,3392,No Failure,9,0,0
2016-10-29 02:13:55,220,M,304.2,319.9,1437,62.6,300,0,2016,No Failure,10,2,5
2017-03-21 20:01:04,47,L,310.0,320.0,1432,51.1,300,0,1152,No Failure,3,20,1
2016-06-21 07:33:05,161,H,295.0,305.0,1444,48.9,300,0,2840,No Failure,6,7,1
2015-01-10 18:04:06,106,M,300.1,310.2,1502,40.3,14,0,11504,No Failure,1,18,5
2015-11-26 14:29:07,282,M,300.4,310.6,1492,40.9,300,0,32064,No Failure,11,14,3
2016-06-08 03:34:17,112,L,310.0,320.0,1433,65.2,300,0,1096,No Failure,6,3,2
2015-03-31 21:28:49,311,H,295.0,305.0,1500,40.3,133,0,37864,No Failure,3,21,1
2015-08-02 00:49:19,240,M,302.5,314.0,1464,46.0,300,0,3160,No Failure,8,0,6
2016-01-01 02:24:32,175,L,310.0,320.0,1478,43.5,300,0,11056,No Failure,1,2,4
2016-08-04 00:35:30,53,H,295.0,305.0,1428,51.3,300,0,520,No Failure,8,0,3
2015-07-30 21:37:44,220,M,300.8,311.2,1489,41.9,300,0,12976,No Failure,7,21,3
2016-11-18 17:49:06,83,M,304.4,320.0,1436,64.9,300,0,1568,No Failure,11,17,4
2017-02-14 02:01:19,108,L,310.0,320.0,1425,51.9,300,0,96,No Failure,2,2,1
2016-12-28 23:28:38,151,L,310.0,320.0,1424,52.0,300,0,8,No Failure,12,23,2
2016-04-24 14:05:42,189,H,295.0,305.0,1450,48.0,300,0,3528,No Failure,4,14,6
2017-04-28 18:57:34,311,H,295.0,305.0,1473,44.5,300,0,19592,No Failure,4,18,4
2016-04-15 03:52:14,90,M,305.6,319.6,1443,49.1,300,0,2304,No Failure,4,3,4
2016-03-24 07:15:44,221,L,310.0,320.0,1425,66.9,300,0,24,No Failure,3,7,3
2016-06-03 06:50:52,107,H,295.0,305.0,1467,45.6,300,0,8608,No Failure,6,6,4
2016-07-20 17:22:09,247,M,304.5,320.0,1431,66.5,300,0,936,No Failure,7,17,2
2016-09-15 10:52:04,192,M,305.7,319.8,1443,49.2,300,0,2952,No Failure,9,10,3
2019-02-01 15:29:09,268,M,304.3,316.9,1437,50.3,300,0,4032,No Failure,2,15,4
2016-02-13 12:54:32,208,L,310.0,320.0,1479,43.1,300,0,13928,No Failure,2,12,5
2015-12-26 08:21:24,118,L,310.0,320.0,1433,62.4,300,0,632,No Failure,12,8,5
2015-11-20 06:16:11,56,H,295.0,305.0,1430,68.2,300,0,368,No Failure,11,6,4
2016-02-01 14:49:13,221,L,310.0,320.0,1438,59.1,300,0,1256,No Failure,2,14,0
2016-01-21 18:35:36,246,L,310.0,320.0,1442,49.4,300,0,1680,No Failure,1,18,3
2017-09-07 21:02:43,80,M,304.9,317.9,1284,42.3,300,0,288,No Failure,9,21,3
2017-04-17 01:36:20,212,M,304.6,317.4,1312,43.1,300,0,1240,No Failure,4,1,0
2017-09-17 20:17:36,371,L,310.0,320.0,1467,45.6,300,0,16256,No Failure,9,20,6
2016-04-01 13:22:43,33,H,295.0,305.0,1428,51.5,300,0,304,No Failure,4,13,4
2016-05-17 16:38:54,141,M,303.9,316.2,1441,56.5,300,0,2224,No Failure,5,16,1
2017-03-07 17:38:12,138,H,295.0,305.0,1435,50.2,300,0,2144,No Failure,3,17,1
2017-02-20 07:19:06,129,H,295.0,305.0,1292,42.4,300,0,512,No Failure,2,7,0
2015-01-22 05:21:22,48,H,295.0,305.0,1500,40.3,32,0,8624,No Failure,1,5,3
2015-06-23 08:06:35,348,H,295.0,305.0,1500,40.7,261,0,35824,No Failure,6,8,1
2015-09-14 00:45:11,118,L,310.0,320.0,1459,46.5,300,0,3088,No Failure,9,0,0
2016-11-18 00:50:04,134,M,304.8,317.6,1302,42.8,300,0,712,No Failure,11,0,4
2016-11-10 19:57:55,393,H,295.0,305.0,1480,43.1,300,0,23648,No Failure,11,19,3
2015-06-21 16:07:42,283,L,310.0,320.0,1496,40.3,257,0,35880,No Failure,6,16,6
2016-09-22 23:30:12,82,H,295.0,305.0,1425,65.4,300,0,336,No Failure,9,23,3
2017-02-08 19:24:12,298,M,301.6,312.5,1477,43.8,300,0,21552,No Failure,2,19,2
2016-07-07 06:47:23,112,L,310.0,320.0,1429,69.8,300,0,376,No Failure,7,6,3
2016-12-04 11:29:53,187,L,310.0,320.0,1293,42.5,300,0,512,No Failure,12,11,6
2016-08-14 14:44:18,153,L,310.0,320.0,1441,49.5,300,0,2472,No Failure,8,14,6
2016-06-25 12:52:55,99,M,303.4,315.5,1451,51.7,300,0,3904,No Failure,6,12,5
2016-07-27 06:09:09,274,M,301.0,311.6,1484,42.4,300,0,26272,No Failure,7,6,2
2016-04-10 15:44:38,131,L,310.0,320.0,1426,65.8,300,0,192,No Failure,4,15,6
2016-10-29 15:21:18,157,M,307.7,320.0,1432,50.9,300,0,1128,No Failure,10,15,5
2015-05-25 09:44:23,80,M,300.3,310.5,1496,40.7,217,0,20416,No Failure,5,9,0
2017-09-04 00:08:46,171,M,304.9,320.0,1423,71.7,300,0,40,No Failure,9,0,0
2017-08-06 11:46:02,103,M,304.6,320.0,1428,68.1,300,0,1064,No Failure,8,11,6
2017-02-17 12:46:57,193,L,310.0,320.0,1441,61.2,300,0,2800,No Failure,2,12,4
2016-08-22 21:21:52,83,M,303.5,317.2,1444,54.7,300,0,3688,No Failure,8,21,0
2016-04-17 19:49:24,200,M,304.5,317.2,1431,62.7,300,0,760,No Failure,4,19,6
2016-11-04 20:44:48,94,L,310.0,320.0,1431,50.8,300,0,1168,No Failure,11,20,4
2018-03-24 00:37:06,371,L,310.0,320.0,1455,47.1,300,0,11760,No Failure,3,0,5
2018-05-22 10:09:59,253,M,303.2,315.1,1451,47.6,300,0,10336,No Failure,5,10,1
2017-05-28 07:31:09,44,M,304.7,317.5,1429,64.3,300,0,856,No Failure,5,7,6
2015-12-20 19:47:39,188,L,310.0,320.0,1474,43.9,300,0,9200,No Failure,12,19,6
2016-12-17 11:07:48,163,M,304.2,316.7,1434,50.1,300,0,1912,No Failure,12,11,5
2016-03-13 20:56:10,69,M,306.3,320.0,1440,49.8,300,0,1616,No Failure,3,20,6
2016-08-30 19:04:36,94,L,310.0,320.0,1440,49.1,300,0,2768,No Failure,8,19,1
2017-04-18 03:13:47,64,H,295.0,305.0,1433,50.8,300,0,1568,No Failure,4,3,1
2016-04-14 15:22:28,159,M,305.9,320.0,1441,49.4,300,0,2040,No Failure,4,15,3
2016-12-06 03:44:21,42,H,295.0,305.0,1439,61.4,300,0,2472,No Failure,12,3,1
2016-07-17 03:43:47,215,M,304.4,317.0,1435,61.1,300,0,1312,No Failure,7,3,6
2016-06-09 10:38:26,229,M,304.4,317.4,1450,48.3,300,0,3704,No Failure,6,10,3
2017-04-28 18:40:19,64,H,295.0,305.0,1432,51.0,300,0,1312,No Failure,4,18,4
2016-09-05 18:29:10,121,L,310.0,320.0,1439,61.0,300,0,2224,No Failure,9,18,0
2015-01-31 17:57:44,192,M,300.0,310.1,1499,40.1,46,0,17216,No Failure,1,17,5
2015-11-12 02:09:12,6,M,304.5,320.0,1431,66.7,300,0,504,No Failure,11,2,3
2018-10-27 10:08:38,360,L,310.0,320.0,1442,49.2,300,0,6480,No Failure,10,10,5
2015-09-19 05:34:02,385,H,295.0,305.0,1495,40.8,300,0,33712,No Failure,9,5,5
2015-10-21 09:11:53,7,M,302.9,314.6,1455,46.8,300,0,3064,No Failure,10,9,2
2016-02-01 23:08:45,226,H,295.0,305.0,1437,50.2,300,0,1144,No Failure,2,23,0
2019-02-03 10:47:58,268,M,304.3,316.8,1436,50.3,300,0,3992,No Failure,2,10,6
2017-05-27 00:33:04,105,L,310.0,320.0,1427,69.8,300,0,560,No Failure,5,0,5
2016-08-17 07:24:54,220,M,303.6,317.3,1448,54.7,300,0,3752,No Failure,8,7,2
2016-03-10 18:52:52,195,L,310.0,320.0,1450,51.9,300,0,3312,No Failure,3,18,3
2015-08-13 12:34:48,110,L,310.0,320.0,1489,42.1,300,0,12792,No Failure,8,12,3
2016-08-07 18:47:18,60,M,305.7,319.8,1442,49.2,300,0,2712,No Failure,8,18,6
2016-11-21 14:05:29,151,L,310.0,320.0,1429,50.9,300,0,912,No Failure,11,14,0
2017-05-30 14:52:00,250,M,304.7,320.0,1430,68.0,300,0,1048,No Failure,5,14,1
2017-07-15 22:11:59,171,M,304.6,320.0,1431,67.6,300,0,1248,No Failure,7,22,5
2015-11-10 04:48:09,176,M,305.8,320.0,1441,49.3,300,0,1376,No Failure,11,4,1
2016-05-09 00:54:11,161,H,295.0,305.0,1450,47.8,300,0,3872,No Failure,5,0,0
2015-12-07 13:38:54,73,M,303.9,318.6,1443,58.7,300,0,1552,No Failure,12,13,0
2017-06-08 15:24:32,241,L,310.0,320.0,1277,42.0,300,0,104,No Failure,6,15,3
2016-09-15 22:41:49,294,M,301.2,311.9,1484,42.9,300,0,25064,No Failure,9,22,3
2017-07-07 08:06:33,224,H,295.0,305.0,1429,50.7,300,0,1448,No Failure,7,8,4
2017-06-25 23:23:38,363,M,302.0,313.2,1469,44.9,300,0,18144,No Failure,6,23,6
2016-01-19 08:41:23,158,L,310.0,320.0,1429,67.6,300,0,488,No Failure,1,8,1
2019-03-15 18:17:53,312,L,310.0,320.0,1433,50.5,300,0,3224,No Failure,3,18,4
2015-12-23 08:39:28,223,M,306.7,320.0,1437,50.0,300,0,1096,No Failure,12,8,2
2016-12-26 21:07:22,182,M,304.9,317.9,1425,66.6,300,0,96,No Failure,12,21,0
2016-08-05 14:31:08,235,M,304.8,320.0,1430,68.8,300,0,560,No Failure,8,14,4
2017-05-18 19:51:36,34,L,310.0,320.0,1432,51.1,300,0,1264,No Failure,5,19,3
2016-04-23 05:46:22,196,M,302.0,313.1,1473,44.7,300,0,10400,No Failure,4,5,5
2017-03-10 20:40:27,160,H,295.0,305.0,1431,68.1,300,0,944,No Failure,3,20,4
2019-03-05 04:41:51,331,L,310.0,320.0,1434,50.6,300,0,3384,No Failure,3,4,1
2016-11-19 05:24:38,170,L,310.0,320.0,1426,51.9,300,0,104,No Failure,11,5,5
2015-11-07 21:06:16,135,M,302.8,314.4,1460,46.7,300,0,3752,No Failure,11,21,5
2015-11-03 08:45:42,28,L,310.0,320.0,1442,49.1,300,0,1448,No Failure,11,8,1
2015-11-03 23:51:10,234,M,304.4,317.0,1434,50.5,300,0,704,No Failure,11,23,1
2017-04-06 09:00:02,172,H,295.0,305.0,1428,51.4,300,0,632,No Failure,4,9,3
2017-06-12 18:19:45,205,M,308.9,320.0,1425,51.9,300,0,104,No Failure,6,18,0
2016-10-24 23:48:17,225,M,304.6,317.4,1431,63.3,300,0,920,No Failure,10,23,0
2016-08-30 11:07:11,76,L,310.0,320.0,1424,66.8,300,0,24,No Failure,8,11,1
2017-10-17 15:31:11,317,L,310.0,320.0,1463,45.8,300,0,15408,No Failure,10,15,1
2018-09-02 18:14:31,305,M,303.5,315.7,1444,48.5,300,0,7944,No Failure,9,18,6
2017-05-15 07:16:00,146,L,310.0,320.0,1432,51.1,300,0,1248,No Failure,5,7,0
2016-12-15 15:29:23,151,L,310.0,320.0,1428,51.8,300,0,328,No Failure,12,15,3
2016-10-09 23:34:05,244,L,310.0,320.0,1304,42.7,300,0,792,No Failure,10,23,6
2016-10-04 01:38:23,108,L,310.0,320.0,1442,48.9,300,0,3280,No Failure,10,1,1
2017-04-21 20:54:02,62,H,295.0,305.0,1276,42.1,300,0,40,No Failure,4,20,4
2016-04-26 14:46:01,114,L,310.0,320.0,1450,50.7,300,0,3712,No Failure,4,14,1
2016-12-04 17:45:15,93,M,307.9,320.0,1429,51.0,300,0,888,No Failure,12,17,6
2016-11-13 17:21:32,283,L,310.0,320.0,1481,43.2,300,0,23664,No Failure,11,17,6
2017-05-07 15:19:55,44,M,304.6,317.3,1432,63.0,300,0,1344,No Failure,5,15,6
2016-04-25 01:12:08,186,M,304.4,317.1,1433,61.8,300,0,952,No Failure,4,1,0
2016-05-11 16:42:08,45,H,295.0,305.0,1426,67.0,300,0,24,No Failure,5,16,2
2015-10-30 03:06:35,51,M,302.9,314.7,1456,47.0,300,0,3112,No Failure,10,3,4
2017-02-28 02:44:19,40,L,310.0,320.0,1423,51.8,300,0,80,No Failure,2,2,1
2016-12-21 06:42:26,41,H,295.0,305.0,1425,65.5,300,0,360,No Failure,12,6,2
2017-01-31 13:38:42,42,H,295.0,305.0,1432,67.2,300,0,1128,No Failure,1,13,1
2017-10-04 11:50:23,259,M,302.4,313.8,1465,45.7,300,0,15872,No Failure,10,11,2
2017-05-01 09:37:14,133,M,304.9,317.9,1424,66.6,300,0,96,No Failure,5,9,0
2019-06-24 12:48:02,348,H,295.0,305.0,1426,51.6,300,0,800,No Failure,6,12,0
2016-06-12 02:53:28,53,H,295.0,305.0,1439,49.9,300,0,1760,No Failure,6,2,6
2016-10-21 16:52:53,29,L,310.0,320.0,1443,55.5,300,0,3280,No Failure,10,16,4
2017-06-25 11:05:21,167,L,310.0,320.0,1283,42.2,300,0,280,No Failure,6,11,6
2015-06-19 18:46:16,356,M,300.2,310.3,1497,40.4,256,0,35904,No Failure,6,18,4
2016-01-04 11:44:44,150,M,304.8,317.6,1428,51.4,300,0,312,No Failure,1,11,0
2015-12-17 13:52:13,355,L,310.0,320.0,1493,41.2,300,0,31584,No Failure,12,13,3
2016-04-13 03:50:32,67,M,303.3,315.2,1450,50.6,300,0,3656,No Failure,4,3,2
2017-03-23 18:30:08,140,M,304.6,317.4,1306,42.8,300,0,1048,No Failure,3,18,3
2017-04-16 09:10:52,204,M,304.4,317.0,1332,43.5,300,0,2048,No Failure,4,9,6
2016-07-24 12:00:25,141,M,304.7,317.5,1431,64.1,300,0,624,No Failure,7,12,6
2015-09-20 18:16:40,310,H,295.0,305.0,1495,40.8,300,0,33664,No Failure,9,18,6
2016-05-14 05:07:50,199,H,295.0,305.0,1431,51.0,300,0,720,No Failure,5,5,5
2019-05-14 06:36:24,312,L,310.0,320.0,1429,51.1,300,0,1832,No Failure,5,6,1
2015-11-21 18:42:21,166,L,310.0,320.0,1457,46.3,300,0,3952,No Failure,11,18,5
2015-02-10 03:35:26,133,M,300.1,310.1,1499,40.2,61,0,19576,No Failure,2,3,1
2017-05-27 06:15:20,198,H,295.0,305.0,1431,50.4,300,0,1872,No Failure,5,6,5
2016-03-19 14:35:56,31,H,295.0,305.0,1441,49.4,300,0,1888,No Failure,3,14,5
2016-07-10 23:48:47,211,L,310.0,320.0,1445,48.8,300,0,3120,No Failure,7,23,6
2017-07-24 11:12:05,207,M,305.0,318.0,1426,52.0,300,0,168,No Failure,7,11,0
2018-12-25 00:13:01,376,H,295.0,305.0,1438,49.7,300,0,5128,No Failure,12,0,1
2016-03-05 03:41:17,164,M,303.9,316.2,1443,56.1,300,0,2000,No Failure,3,3,5
2019-05-07 11:41:27,296,H,295.0,305.0,1431,51.2,300,0,1984,No Failure,5,11,1
2017-01-02 19:38:28,32,M,303.4,315.5,1450,51.8,300,0,5224,No Failure,1,19,0
2017-03-15 02:52:30,46,L,310.0,320.0,1321,43.2,300,0,1576,No Failure,3,2,2
2017-04-12 13:01:55,80,M,303.8,316.1,1372,44.5,300,0,3832,No Failure,4,13,2
2016-04-03 02:45:33,68,L,310.0,320.0,1277,42.0,300,0,48,No Failure,4,2,6
2016-04-23 04:55:04,122,M,303.7,315.8,1447,48.8,300,0,2808,No Failure,4,4,5
2016-04-10 05:47:56,125,M,304.9,317.9,1425,51.8,300,0,72,No Failure,4,5,6
2016-12-25 16:27:08,163,M,304.3,316.9,1433,50.3,300,0,1720,No Failure,12,16,6
2017-10-01 17:37:30,281,M,302.4,313.8,1466,45.8,300,0,15928,No Failure,10,17,6
2016-08-07 22:26:44,141,M,304.8,317.7,1425,65.5,300,0,272,No Failure,8,22,6
2017-01-24 05:02:01,126,L,310.0,320.0,1427,51.2,300,0,688,No Failure,1,5,1
2016-12-01 06:34:46,39,M,303.7,315.9,1392,45.2,300,0,3992,No Failure,12,6,3
